Title,Price,Rating,Reviews,Availability
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,"₹7,699.00",4.0 out of 5 stars,"5,844 ratings",In stock
"realme narzo 50 (Speed Black, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","₹12,499.00",4.2 out of 5 stars,"17,712 ratings",In stock
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Light Mint","₹6,499.00",3.1 out of 5 stars,"1,080 ratings",In stock
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹12,999.00",4.1 out of 5 stars,"25,438 ratings",In stock
"Redmi 12C (Matte Black, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","₹8,499.00",3.9 out of 5 stars,"4,305 ratings",In stock
"Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black","₹4,449.00",3.8 out of 5 stars,"2,099 ratings",In stock
Nokia C22 | 3-Day Battery Life | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 13 MP Dual Rear AI Camera with Night & Portrait Mode | IP52 | Charcoal,"₹8,249.00",4.0 out of 5 stars,165 ratings,In stock
"realme narzo N53 (Feather Gold, 6GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹10,999.00",3.9 out of 5 stars,"4,127 ratings",In stock
"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers","₹17,999.00",4.1 out of 5 stars,"34,593 ratings",In stock
"OnePlus Nord CE 3 5G (Grey Shimmer, 12GB RAM, 256GB Storage)","₹28,999.00",Previous page,,In stock
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","₹8,999.00",3.9 out of 5 stars,"4,127 ratings",In stock
"Redmi A2 (Aqua Blue, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","₹6,499.00",3.8 out of 5 stars,"1,894 ratings",In stock
"realme narzo N55 (Prime Black, 4GB+64GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","₹10,999.00",4.0 out of 5 stars,"5,175 ratings",In stock
"Redmi A2 (Sea Green, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","₹6,499.00",3.8 out of 5 stars,"1,894 ratings",In stock
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","₹7,099.00",3.9 out of 5 stars,"9,358 ratings",In stock
"Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹12,999.00",4.1 out of 5 stars,"25,438 ratings",In stock
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,"₹7,699.00",4.0 out of 5 stars,"5,844 ratings",In stock
"realme narzo 50 (Speed Black, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","₹12,499.00",4.2 out of 5 stars,"17,712 ratings",In stock
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹12,999.00",4.1 out of 5 stars,"25,438 ratings",In stock
"Samsung Galaxy S23 5G (Green, 8GB, 128GB Storage)","₹74,998.00",4.5 out of 5 stars,700 ratings,Only 1 left in stock
"Elzzi Microfiber Logo Cut Cover Compatible for iPhone 13 Case Cushion Liquid Soft Silicone Gel Rubber Phone Cases Non-Slip Full Body Protective Shockproof Back Cover 6.1 inch, Mist Blue",₹329.00,4.0 out of 5 stars,"1,106 ratings",In stock
Nik case Back Cover for iPhone 11 (Silicone | Black),₹379.00,4.1 out of 5 stars,"3,913 ratings",In stock
elago Liquid Silicone Case Compatible for iPhone 12 Case and Compatible for iPhone 12 Pro Case - Full Body Protection (Screen & Camera Protection) -Mint,"₹1,099.00",4.2 out of 5 stars,"29,683 ratings",In stock
"DIZORO Liquid Silicone Compatible for iPhone 14 Case Gel Rubber with Microfiber Lining Non-Slip Full Body Protective Shockproof Back Cover (Lilac, 6.1 inch)",₹379.00,4.6 out of 5 stars,17 ratings,In stock
